Series Name,Series Code,Country Name,Country Code,2010,2019
"Population, total",SP.POP.TOTL,Latin America & the Caribbean (IDA & IBRD countries),TLA,572674666,629515571
"Population, total",SP.POP.TOTL,Least developed countries: UN classification,LDC,843512714,1048193552
"Population, total",SP.POP.TOTL,Low & middle income,LMY,5760864582,6476995208
"Population, total",SP.POP.TOTL,Low income,LIC,510897321,648755452
"Population, total",SP.POP.TOTL,Lower middle income,LMC,2681991417,3075311775
"Population, total",SP.POP.TOTL,Middle East & North Africa,MEA,397997557,473201775
"Population, total",SP.POP.TOTL,Middle East & North Africa (excluding high income),MNA,343313330,405259403
"Population, total",SP.POP.TOTL,Middle East & North Africa (IDA & IBRD countries),TMN,339527169,400574097
"Population, total",SP.POP.TOTL,Middle income,MIC,5249967261,5828239756
"Population, total",SP.POP.TOTL,North America,NAC,343397156,365995094
"Population, total",SP.POP.TOTL,OECD members,OED,1291001492,1362922537
"Population, total",SP.POP.TOTL,Other small states,OSS,26565994,32005477
"Population, total",SP.POP.TOTL,Pacific island small states,PSS,2301401,2536070
"Population, total",SP.POP.TOTL,Post-demographic dividend,PST,1075046427,1113310738
"Population, total",SP.POP.TOTL,Pre-demographic dividend,PRE,739525992,957503246
"Population, total",SP.POP.TOTL,Small states,SST,35871823,41965649
"Population, total",SP.POP.TOTL,South Asia,SAS,1660546144,1861598514
"Population, total",SP.POP.TOTL,South Asia (IDA & IBRD),TSA,1660546144,1861598514
"Population, total",SP.POP.TOTL,Sub-Saharan Africa,SSF,879797419,1121549049
"Population, total",SP.POP.TOTL,Sub-Saharan Africa (excluding high income),SSA,879707649,1121451424
"Population, total",SP.POP.TOTL,Sub-Saharan Africa (IDA & IBRD countries),TSS,879797419,1121549049
"Population, total",SP.POP.TOTL,Upper middle income,UMC,2567975844,2752927981
"Population, total",SP.POP.TOTL,World,WLD,6970038720,7742682218
